ScientificName	AphiaID	Match type	LSID	ScientificName_1	AphiaID_accepted	ScientificName_accepted
Dictyota sp.	144086	exact	urn:lsid:marinespecies.org:taxname:144086	Dictyota	144086	Dictyota
Diodora saturnalis	575114	exact	urn:lsid:marinespecies.org:taxname:575114	Diodora saturnalis	575114	Diodora saturnalis
Dolabrifera dolabrifera	224652	exact	urn:lsid:marinespecies.org:taxname:224652	Dolabrifera dolabrifera	224652	Dolabrifera dolabrifera
Dumontia contorta	145228	exact	urn:lsid:marinespecies.org:taxname:145228	Dumontia contorta	145228	Dumontia contorta
Durvillaea antarctica	373370	exact	urn:lsid:marinespecies.org:taxname:373370	Durvillaea antarctica	373370	Durvillaea antarctica
Dynamena	117229	exact	urn:lsid:marinespecies.org:taxname:117229	Dynamena	117229	Dynamena
Echinodermata	1806	exact	urn:lsid:marinespecies.org:taxname:1806	Echinodermata	1806	Echinodermata
Echinolittorina apicina	446850	exact	urn:lsid:marinespecies.org:taxname:446850	Echinolittorina apicina	446850	Echinolittorina apicina
Echinolittorina aspera	446852	exact	urn:lsid:marinespecies.org:taxname:446852	Echinolittorina aspera	446852	Echinolittorina aspera
Echinolittorina conspersa	446855	exact	urn:lsid:marinespecies.org:taxname:446855	Echinolittorina conspersa	446855	Echinolittorina conspersa
Echinolittorina lineolata	446863	exact	urn:lsid:marinespecies.org:taxname:446863	Echinolittorina lineolata	446863	Echinolittorina lineolata
Echinolittorina paytensis	446867	exact	urn:lsid:marinespecies.org:taxname:446867	Echinolittorina paytensis	446867	Echinolittorina paytensis
Echinolittorina porcata	446870	exact	urn:lsid:marinespecies.org:taxname:446870	Echinolittorina porcata	446870	Echinolittorina porcata
Echinolittorina sp.	345756	exact	urn:lsid:marinespecies.org:taxname:345756	Echinolittorina	345756	Echinolittorina
Echinolittorina tenuistriata	446876	exact	urn:lsid:marinespecies.org:taxname:446876	Echinolittorina tenuistriata	446876	Echinolittorina tenuistriata
Echinometra lucunter	213380	exact	urn:lsid:marinespecies.org:taxname:213380	Echinometra lucunter	213380	Echinometra lucunter
Echinometra vanbrunti	513244	exact	urn:lsid:marinespecies.org:taxname:513244	Echinometra vanbrunti	513244	Echinometra vanbrunti
Elysia diomedea	494440	exact	urn:lsid:marinespecies.org:taxname:494440	Elysia diomedea	494440	Elysia diomedea
ENTEROMORPHA	144294	exact	urn:lsid:marinespecies.org:taxname:144294	Enteromorpha	144296	Ulva
Enteromorpha sp.	144294	exact	urn:lsid:marinespecies.org:taxname:144294	Enteromorpha	144296	Ulva
Epitonium fabrizioi	458075	exact	urn:lsid:marinespecies.org:taxname:458075	Epitonium fabrizioi	458075	Epitonium fabrizioi
Epitonium sp.	137943	exact	urn:lsid:marinespecies.org:taxname:137943	Epitonium	137943	Epitonium
Eriphia squamata	440487	exact	urn:lsid:marinespecies.org:taxname:440487	Eriphia squamata	440487	Eriphia squamata
Eulalia clavigera	155375	exact	urn:lsid:marinespecies.org:taxname:155375	Eulalia clavigera	155375	Eulalia clavigera
Eunice cedroensis	327654	exact	urn:lsid:marinespecies.org:taxname:327654	Eunice cedroensis	327654	Eunice cedroensis
Exosphaeroma sp.	118429	exact	urn:lsid:marinespecies.org:taxname:118429	Exosphaeroma	118429	Exosphaeroma
Fissurella	138013	exact	urn:lsid:marinespecies.org:taxname:138013	Fissurella	138013	Fissurella
Fissurella costata	570480	exact	urn:lsid:marinespecies.org:taxname:570480	Fissurella costata	570480	Fissurella costata
Fissurella crassa	570517	exact	urn:lsid:marinespecies.org:taxname:570517	Fissurella crassa	570517	Fissurella crassa
Fissurella longifissa	729940	exact	urn:lsid:marinespecies.org:taxname:729940	Fissurella longifissa	729940	Fissurella longifissa
